,objectId,marriageStatus,occupation,educationLevel,latitude,longitude,age,sex,clustersByLoc,province,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess
3834,Sy8sVaKcmA,single,Agriculture,lessThanprimary,18.9094727,-70.7471404,51.0,male,1,San Pedro de Macoris,moreThan10,2-3AWeek,tap,N,dirtPoor,working,Clinic,Clinic,Other,1-2,street,2,0,owned,N
3835,PBk7Hu1lRX,single,Other,someHighSchool,18.5486102,-69.27370340000002,51.0,male,0,Lavega,moreThan10,everyday,bottled,N,cementPoor,poor,Other,Other,Unemployment,1-2,outside house,4,2,owned,N
3836,Ywhj04iqUN,single,Other,someCollege,18.5484241,-69.2740061,27.0,female,0,Lavega,5-10,everyday,bottled,Y,cementPoor,poor,Other,Other,Other,1-2,street,3,1,rented,
3837,EankBi7mPE,free_union,Ama de casa,lessThanprimary,18.5486102,-69.27370340000002,61.0,female,0,Lavega,moreThan10,everyday,bottled,N,cementPoor,poor,Other,Other,Other,1-2,outside house,3,0,owned,N
3838,hwghFJQwwP,free_union,Other,college,18.5486102,-69.27370340000002,30.0,female,0,Lavega,5-10,everyday,bottled,Y,cementWorking,working,Other,Other,Other,1-2,street,4,1,owned,
3839,HsGB2FoqB4,free_union,Other,someHighSchool,18.5486102,-69.27370340000002,37.0,male,0,Lavega,moreThan10,everyday,bottled,Y,cementWorking,working,Other,Other,Other,1-2,street,4,1,owned,
3840,Vzfwmg1ygT,free_union,Ama de casa,someHighSchool,18.5486102,-69.27370340000002,31.0,female,0,Lavega,moreThan10,everyday,bottled,Y,cementPoor,working,Other,Other,Other,1-2,outside house,5,0,owned,
3841,xYLlKXx2Vf,free_union,Ama de casa,highschool,18.5486102,-69.27370340000002,38.0,female,0,Lavega,moreThan10,everyday,bottled,N,cementPoor,poor,Other,Other,Other,1-2,street,5,1,owned,N
3842,xXkPBCddAk,free_union,Other,lessThanprimary,18.5486102,-69.27370340000002,40.0,male,0,Lavega,moreThan10,everyday,bottled,Y,cementPoor,working,Other,Other,Other,1-2,outside house,5,0,owned,
3843,BD6EEghvJU,widow,Ama de casa,lessThanprimary,18.4578394,-69.1948129,77.0,female,0,Lavega,moreThan10,everyday,bottled,N,cementPoor,poor,Al Musa Hospital,Other,Other,1-2,outside house,1,0,rented,N
