,objectId,yearsLivedinThisHouse,waterAccess,typeofWaterdoyoudrink,latrineAccess,conditionoFloorinyourhouse,conditionoRoofinyourhouse,medicalproblemswheredoyougo,dentalproblemswheredoyougo,biggestproblemofcommunity,timesperweektrashcollected,wheretrashleftbetweenpickups,numberofIndividualsLivingintheHouse,numberofChildrenLivinginHouseUndertheAgeof5,houseownership,bathroomAccess
808,t9XfUxUIpA,1-2,,bottled,Y,cementWorking,working,Other Hospital,Other,Other,1-2,sidewalk,2,1,rented,
809,20Ua8cZJkU,lessThan1,,bottled,Y,cementWorking,working,Other,Other,Roads,1-2,other,6,1,rented,
810,OrwjduvabV,3-4,everyday,bottled,Y,cementWorking,working,Other Hospital,Other,Roads,1-2,sidewalk,4,2,rented,
811,ZaBuUzMf4e,1-2,everyday,bottled,Y,cementWorking,working,Clinic,Dentist,Other,1-2,sidewalk,4,2,owned,
812,jLgIyv1rwy,moreThan10,,bottled,Y,cementPoor,poor,Other Hospital,Other,Other,1-2,sidewalk,5,1,owned,
813,TAz0FuF57Q,moreThan10,,bottled,Y,cementPoor,poor,Other Hospital,Other,Other,1-2,sidewalk,5,1,rented,
814,MVTaM7nJ4P,moreThan10,,bottled,Y,cementPoor,poor,Other Hospital,Other,Other,1-2,sidewalk,5,1,owned,
815,JIeZ3vKdLb,5-10,everyday,bottled,Y,cementWorking,working,Clinic,Dentist,Other,1-2,street,4,0,,
816,sEvAb7jyni,5-10,everyday,bottled,Y,cementWorking,working,Clinic,Dentist,Other,1-2,street,4,0,rented,
817,959wOdYkQY,5-10,everyday,bottled,Y,cementWorking,working,Clinic,Dentist,Other,1-2,street,4,0,rented,
818,wRWxNbDYKv,1-2,everyday,bottled,Y,cementWorking,working,Other Hospital,Dentist,Lighting,1-2,other,5,2,owned,
819,PchbeufBCw,5-10,,bottled,Y,cementWorking,working,Other Hospital,Dentist,Roads,1-2,street,3,0,rented,
820,PchbeufBCw,5-10,,bottled,Y,cementWorking,working,Other Hospital,Dentist,Roads,1-2,street,3,0,rented,
821,UA5i1xQUwE,moreThan10,everyday,bottled,Y,cementWorking,working,Other Hospital,Dentist,Other,1-2,street,3,0,rented,
822,RGdD7DEfaA,moreThan10,everyday,bottled,Y,cementWorking,working,Other Hospital,Dentist,Roads,1-2,street,3,0,rented,
823,A5vO6WktO7,moreThan10,everyday,bottled,Y,cementWorking,working,Clinic,Dentist,Roads,1-2,outside house,2,0,owned,
824,UPLFO2pO7p,moreThan10,everyday,bottled,Y,cementWorking,working,Clinic,Other Hospital,Roads,1-2,street,2,0,owned,
825,42sxptp1qF,moreThan10,everyday,bottled,Y,cementWorking,working,Clinic,Dentist,Roads,1-2,outside house,2,0,owned,
826,3lOTxxtA8Q,moreThan10,everyday,bottled,Y,cementWorking,working,Clinic,Dentist,Roads,1-2,street,5,0,owned,
827,RUgBUeJRSO,1-2,everyday,bottled,Y,cementWorking,working,Other Hospital,Other,Garbage,1-2,sidewalk,3,1,rented,
828,OJgKpw7Bb1,1-2,everyday,bottled,Y,cementWorking,working,Clinic,Other,Garbage,1-2,sidewalk,4,0,rented,
829,42BgnNoohb,1-2,everyday,bottled,Y,cementWorking,working,Clinic,Other,Garbage,1-2,sidewalk,2,0,rented,
830,RThO3itee0,moreThan10,everyday,bottled,Y,cementPoor,working,Other,Other,Delinquents,1-2,other,5,0,rented,
831,PiV8FFvsiA,3-4,everyday,bottled,Y,cementWorking,working,Clinic,Dentist,Garbage,1-2,sidewalk,3,1,rented,
832,1QDTaVoGjN,3-4,everyday,bottled,Y,cementWorking,working,Clinic,Other,Other,1-2,sidewalk,3,1,rented,
833,rwCS2CcuVZ,lessThan1,everyday,bottled,Y,cementWorking,working,Other Hospital,Other,Other,1-2,sidewalk,2,0,rented,
834,TGlSDHT5Fp,3-4,4-6AWeek,tap,Y,cementWorking,working,Other,Other,Other,Unknown,other,2,0,rented,
835,H7R5S93G8p,3-4,,bottled,Y,cementWorking,working,Other,Other,Other,1-2,sidewalk,4,0,rented,
836,eik1N2ZOjo,3-4,4-6AWeek,bottled,Y,,working,Other,Other,Other,1-2,other,4,0,,
837,KYaTynQHip,lessThan1,everyday,bottled,Y,cementWorking,working,Other Hospital,Other,Garbage,1-2,sidewalk,2,0,rented,
838,XFpDxkonAJ,moreThan10,everyday,bottled,Y,cementWorking,working,Clinic,Dentist,Roads,1-2,street,3,0,owned,
839,0WgpcVk8bB,moreThan10,4-6AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,2,0,rented,
840,fPRcOEsi9E,moreThan10,4-6AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,2,0,rented,
841,DI0jyjJXst,moreThan10,everyday,tap,Y,dirtPoor,poor,Other,Other Hospital,Garbage,1-2,street,5,0,owned,
842,DI0jyjJXst,moreThan10,everyday,tap,Y,dirtPoor,poor,Other,Other Hospital,Garbage,1-2,street,5,0,owned,
843,DI0jyjJXst,moreThan10,everyday,tap,Y,dirtPoor,poor,Other,Other Hospital,Garbage,1-2,street,5,0,owned,
844,DI0jyjJXst,moreThan10,everyday,tap,Y,dirtPoor,poor,Other,Other Hospital,Garbage,1-2,street,5,0,owned,
845,UgQDVkURBq,lessThan1,everyday,tap,Y,cementPoor,poor,Other Hospital,Clinic,Garbage,1-2,street,3,0,rented,
846,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
847,DbV7bH7wmb,moreThan10,2-3AWeek,bottled,Y,cementWorking,working,Other Hospital,Other Hospital,Roads,1-2,street,4,1,rented,
